user_id,name,age,gender,target_gender,location,occupation,anxiety,avoidance,Lifestyle,Arts & Creativity,Music,Movies & Shows,Intellectual & Learning,Food & Drinks,Sports & Outdoor,Gaming & Digital,Travel & Culture,Personality & Values,Relationship Intent
11.0,Thihansa Warnakulasooriya,35.0,Female,Male,Colombo,Accountant,2.97,4.19,"[""Vegan""]","[""Photography"", ""Painting"", ""Graphic Design"", ""DIY & Crafts""]","[""Singing""]","[""Horror"", ""Thriller"", ""K-Dramas""]","[""Startups""]","[""Spicy Food"", ""Coffee"", ""Street Food"", ""Cooking""]","[""Surfing""]","[""Console Gaming"", ""Mobile Gaming"", ""Board Games""]","[""Mountains""]","[""Atheist""]","[""Long-Term Relationship""]"
12.0,Kasun Liyanage,35.0,Male,Female,Kandy,Accountant,2.24,5.68,"[""Traveling"", ""Digital Nomad"", ""Nightlife"", ""Vegetarian""]","[""Filmmaking""]","[""Classical""]","[""Horror"", ""Thriller"", ""K-Dramas"", ""Sitcoms""]","[""Startups"", ""AI & Machine Learning"", ""Technology"", ""Self-Improvement""]","[""Craft Beer"", ""Baking"", ""Fine Dining""]","[""Camping"", ""Surfing"", ""Football""]","[""Web3"", ""eSports""]","[""Museums""]","[""Atheist"", ""Politically Active"", ""Family-Oriented""]","[""Still Figuring It Out""]"
13.0,Dasun Jayawardena,37.0,Female,Male,Kegalle,Business Owner,1.1,5.77,"[""Vegan"", ""Pet Lover""]","[""Poetry"", ""Fashion"", ""Writing""]","[""Rock"", ""Hip-Hop"", ""Classical"", ""EDM""]","[""Anime""]","[""Startups"", ""Science"", ""Self-Improvement"", ""Books & Reading""]","[""Cooking"", ""Street Food""]","[""Swimming"", ""Cycling""]","[""Web3""]","[""Luxury Travel"", ""Mountains"", ""Museums"", ""Languages""]","[""Environmentalist"", ""Religious"", ""Feminist""]","[""Still Figuring It Out""]"
14.0,Dinithi Gunarathna,28.0,Male,Female,Gampaha,Electrician,2.41,1.06,"[""Vegan"", ""Gym"", ""Fitness"", ""Yoga""]","[""Filmmaking""]","[""K-Pop"", ""Indie""]","[""K-Dramas"", ""Sci-Fi"", ""Anime""]","[""Startups"", ""Science"", ""AI & Machine Learning"", ""Self-Improvement""]","[""Wine"", ""Spicy Food""]","[""Surfing"", ""Cycling"", ""Adventure Sports"", ""Basketball""]","[""Mobile Gaming"", ""VR""]","[""Languages"", ""Road Trips""]","[""Career-Focused"", ""Religious"", ""Feminist""]","[""Open Relationship""]"
15.0,Vimukthi Perera,23.0,Female,Male,Monaragala,Farmer,3.68,4.54,"[""Vegan""]","[""Poetry"", ""Fashion""]","[""Singing"", ""Classical"", ""EDM""]","[""Sci-Fi""]","[""Startups"", ""Science""]","[""Street Food""]","[""Swimming"", ""Hiking"", ""Football"", ""Surfing""]","[""Console Gaming"", ""eSports"", ""Board Games"", ""Dungeons & Dragons""]","[""Mountains"", ""Beaches""]","[""Career-Focused"", ""Spiritual"", ""Feminist"", ""Religious""]","[""Still Figuring It Out""]"
16.0,Supun,28.0,Male,Female,Kalutara,Business Owner,3.92,4.11,"[""Vegan"", ""Pet Lover"", ""Early Bird"", ""Traveling""]","[""Writing"", ""Graphic Design""]","[""Singing"", ""Jazz"", ""Indie"", ""EDM""]","[""K-Dramas"", ""Sci-Fi"", ""Horror""]","[""Self-Improvement"", ""AI & Machine Learning"", ""Science""]","[""Fine Dining"", ""Spicy Food"", ""Craft Beer""]","[""Adventure Sports""]","[""Board Games""]","[""Museums"", ""Road Trips"", ""Luxury Travel""]","[""Career-Focused"", ""Environmentalist"", ""Family-Oriented""]","[""Marriage""]"
17.0,Chamodi,31.0,Male,Female,Galle,Lawyer,3.96,3.72,"[""Fitness"", ""Yoga""]","[""Writing"", ""Graphic Design"", ""Painting"", ""Interior Design""]","[""Pop""]","[""Horror"", ""K-Dramas""]","[""Philosophy"", ""AI & Machine Learning""]","[""Cooking"", ""Street Food"", ""Spicy Food"", ""Fine Dining""]","[""Cricket"", ""Basketball"", ""Hiking"", ""Football""]","[""Mobile Gaming"", ""VR"", ""Board Games"", ""Crypto""]","[""Cultural Festivals""]","[""Environmentalist"", ""Spiritual"", ""Politically Active"", ""Feminist""]","[""Casual Dating""]"
18.0,Oshadi,34.0,Male,Female,Kegalle,Pharmacist,1.62,2.44,"[""Vegan""]","[""Poetry"", ""Filmmaking"", ""DIY & Crafts"", ""Photography""]","[""Indie"", ""K-Pop""]","[""Horror"", ""Thriller"", ""Sci-Fi""]","[""AI & Machine Learning"", ""Philosophy""]","[""Cooking"", ""Craft Beer"", ""Coffee""]","[""Swimming"", ""Cricket"", ""Surfing""]","[""Dungeons & Dragons""]","[""Road Trips"", ""Mountains"", ""Beaches""]","[""Environmentalist"", ""Career-Focused""]","[""Long-Term Relationship""]"
19.0,Nimesha,36.0,Female,Male,Gampaha,Marketing Executive,2.84,1.0,"[""Digital Nomad""]","[""Poetry"", ""Interior Design"", ""Painting""]","[""Classical"", ""Rock""]","[""K-Dramas""]","[""Psychology"", ""Books & Reading"", ""Self-Improvement"", ""AI & Machine Learning""]","[""Street Food"", ""Coffee"", ""Baking"", ""Wine""]","[""Cycling"", ""Swimming"", ""Adventure Sports"", ""Basketball""]","[""Mobile Gaming"", ""Board Games"", ""Crypto"", ""Console Gaming""]","[""Road Trips"", ""Mountains"", ""Cultural Festivals""]","[""Atheist"", ""Environmentalist""]","[""Casual Dating""]"
20.0,Pathum Yapa,29.0,Female,Male,Kegalle,Bank Officer,1.07,1.85,"[""Meditation"", ""Pet Lover""]","[""Graphic Design"", ""Writing"", ""Painting"", ""Fashion""]","[""Pop""]","[""Horror""]","[""Self-Improvement"", ""Technology"", ""Psychology"", ""Philosophy""]","[""Coffee"", ""Cooking"", ""Baking"", ""Wine""]","[""Football"", ""Hiking"", ""Cycling"", ""Surfing""]","[""Board Games"", ""Web3""]","[""Backpacking""]","[""Spiritual"", ""Feminist""]","[""Long-Term Relationship""]"
21.0,Dasun,19.0,Female,Male,Galle,Driver,3.04,1.0,"[""Gym"", ""Pet Lover"", ""Night Owl"", ""Fitness""]","[""Fashion"", ""Graphic Design""]","[""EDM"", ""Hip-Hop"", ""Classical"", ""Pop""]","[""Thriller"", ""Horror""]","[""Psychology"", ""Books & Reading"", ""Technology""]","[""Spicy Food"", ""Baking"", ""Cooking"", ""Craft Beer""]","[""Hiking""]","[""eSports"", ""PC Gaming""]","[""Languages"", ""Backpacking"", ""Cultural Festivals""]","[""Politically Active"", ""Family-Oriented"", ""Environmentalist""]","[""Marriage""]"
22.0,Dasun,33.0,Male,Female,Galle,Business Owner,3.4,3.71,"[""Night Owl"", ""Meditation""]","[""Graphic Design"", ""DIY & Crafts""]","[""Indie"", ""Jazz""]","[""Documentaries""]","[""Self-Improvement"", ""Philosophy"", ""Psychology"", ""Startups""]","[""Wine"", ""Cooking"", ""Craft Beer"", ""Coffee""]","[""Cricket"", ""Swimming"", ""Football"", ""Adventure Sports""]","[""eSports"", ""PC Gaming""]","[""Museums""]","[""Feminist"", ""Environmentalist"", ""Career-Focused"", ""Religious""]","[""Marriage""]"
23.0,Hansani,37.0,Male,Female,Badulla,Chef,3.18,5.39,"[""Meditation"", ""Fitness""]","[""Fashion"", ""Painting"", ""Photography"", ""Poetry""]","[""Classical""]","[""Sci-Fi"", ""Horror""]","[""Self-Improvement"", ""Science"", ""Startups""]","[""Baking""]","[""Adventure Sports"", ""Cycling"", ""Hiking""]","[""Board Games"", ""Crypto""]","[""Beaches"", ""Luxury Travel"", ""Cultural Festivals""]","[""Politically Active""]","[""Still Figuring It Out""]"
24.0,Bimasha,22.0,Male,Female,Badulla,Business Owner,4.3,1.19,"[""Meditation"", ""Yoga""]","[""Painting""]","[""Hip-Hop"", ""K-Pop""]","[""Sci-Fi"", ""Documentaries"", ""Sitcoms""]","[""AI & Machine Learning"", ""Technology""]","[""Spicy Food"", ""Baking""]","[""Hiking"", ""Swimming"", ""Cycling"", ""Basketball""]","[""Console Gaming""]","[""Beaches""]","[""Career-Focused""]","[""Open Relationship""]"
25.0,Kavindu De Soyza,24.0,Female,Male,Kalutara,Chef,3.04,5.19,"[""Gym"", ""Nightlife"", ""Fitness"", ""Meditation""]","[""Fashion"", ""Painting"", ""Interior Design"", ""Poetry""]","[""Classical"", ""Singing"", ""Hip-Hop""]","[""Anime"", ""Romance"", ""K-Dramas""]","[""Psychology"", ""Philosophy"", ""History""]","[""Coffee""]","[""Camping"", ""Swimming""]","[""PC Gaming"", ""VR"", ""Crypto"", ""Mobile Gaming""]","[""Backpacking"", ""Luxury Travel"", ""Road Trips"", ""Languages""]","[""Career-Focused"", ""Spiritual"", ""Family-Oriented""]","[""Long-Term Relationship""]"
26.0,Imesha,18.0,Male,Female,Matara,Lawyer,3.61,1.63,"[""Nightlife"", ""Digital Nomad""]","[""Graphic Design"", ""Photography"", ""Poetry""]","[""K-Pop""]","[""Thriller""]","[""Books & Reading""]","[""Coffee"", ""Spicy Food"", ""Baking"", ""Fine Dining""]","[""Cricket"", ""Football""]","[""Dungeons & Dragons"", ""Web3""]","[""Luxury Travel"", ""Cultural Festivals""]","[""Environmentalist"", ""Religious"", ""Feminist""]","[""Marriage""]"
27.0,Hashan,39.0,Female,Male,Gampaha,Farmer,3.39,5.21,"[""Meditation"", ""Vegetarian"", ""Yoga"", ""Pet Lover""]","[""Writing""]","[""EDM""]","[""Horror"", ""Romance"", ""Sci-Fi""]","[""Startups"", ""Books & Reading"", ""Science"", ""AI & Machine Learning""]","[""Coffee""]","[""Football"", ""Swimming"", ""Adventure Sports"", ""Hiking""]","[""eSports""]","[""Beaches"", ""Backpacking""]","[""Spiritual""]","[""Long-Term Relationship""]"
28.0,Venusha,40.0,Female,Male,Badulla,Electrician,2.34,3.2,"[""Night Owl"", ""Meditation"", ""Digital Nomad""]","[""Writing"", ""Fashion""]","[""Playing Instruments""]","[""Sci-Fi"", ""Horror"", ""Sitcoms"", ""Romance""]","[""AI & Machine Learning"", ""Startups""]","[""Baking"", ""Craft Beer"", ""Fine Dining""]","[""Cycling"", ""Surfing"", ""Cricket"", ""Camping""]","[""Board Games""]","[""Mountains"", ""Luxury Travel""]","[""Family-Oriented"", ""Religious""]","[""Open Relationship""]"
29.0,Nethma,36.0,Female,Male,Badulla,Driver,3.55,4.37,"[""Night Owl"", ""Fitness""]","[""Painting"", ""DIY & Crafts"", ""Writing""]","[""Hip-Hop""]","[""Sitcoms""]","[""Psychology"", ""Science""]","[""Cooking"", ""Street Food"", ""Spicy Food"", ""Baking""]","[""Football""]","[""eSports"", ""Board Games"", ""Crypto""]","[""Beaches"", ""Road Trips""]","[""Religious"", ""Politically Active"", ""Career-Focused""]","[""Long-Term Relationship""]"
30.0,Ravindu Fonseka,25.0,Male,Female,Hambantota,Doctor,2.8,5.1,"[""Traveling""]","[""Poetry""]","[""Indie"", ""Playing Instruments"", ""Rock""]","[""Documentaries"", ""Sci-Fi""]","[""History"", ""Psychology"", ""AI & Machine Learning"", ""Technology""]","[""Street Food"", ""Cooking"", ""Wine"", ""Spicy Food""]","[""Hiking""]","[""VR""]","[""Road Trips"", ""Languages""]","[""Family-Oriented""]","[""Open Relationship""]"
31.0,Nethmi,21.0,Male,Female,Badulla,Bank Officer,5.22,5.26,"[""Pet Lover"", ""Early Bird"", ""Yoga""]","[""Photography"", ""DIY & Crafts"", ""Interior Design"", ""Filmmaking""]","[""Singing"", ""K-Pop""]","[""Sitcoms"", ""Romance"", ""Sci-Fi""]","[""Technology"", ""Self-Improvement""]","[""Coffee"", ""Baking""]","[""Surfing""]","[""PC Gaming"", ""Console Gaming"", ""eSports"", ""Mobile Gaming""]","[""Luxury Travel"", ""Languages"", ""Backpacking""]","[""Spiritual"", ""Feminist""]","[""Marriage""]"
32.0,Kavisha,38.0,Male,Female,Gampaha,Tourism Guide,2.45,1.88,"[""Fitness"", ""Night Owl"", ""Early Bird""]","[""Graphic Design"", ""DIY & Crafts"", ""Fashion""]","[""EDM""]","[""Sitcoms""]","[""Philosophy"", ""Self-Improvement""]","[""Baking""]","[""Football""]","[""PC Gaming"", ""Console Gaming""]","[""Road Trips"", ""Mountains"", ""Languages"", ""Museums""]","[""Atheist"", ""Environmentalist""]","[""Still Figuring It Out""]"
33.0,Dilshan Warnakulasooriya,18.0,Male,Female,Matara,Farmer,1.49,2.49,"[""Vegetarian"", ""Fitness"", ""Pet Lover"", ""Meditation""]","[""Writing""]","[""EDM"", ""Playing Instruments""]","[""Sitcoms"", ""Horror""]","[""History"", ""Books & Reading"", ""AI & Machine Learning""]","[""Coffee"", ""Baking"", ""Street Food""]","[""Football""]","[""Dungeons & Dragons"", ""Web3"", ""Mobile Gaming""]","[""Backpacking""]","[""Atheist"", ""Family-Oriented"", ""Environmentalist"", ""Career-Focused""]","[""Marriage""]"
34.0,Oshadi Rajapaksha,40.0,Male,Female,Gampaha,Civil Servant,3.93,2.88,"[""Pet Lover"", ""Night Owl""]","[""Painting"", ""Poetry""]","[""Rock""]","[""Romance"", ""Sci-Fi"", ""Anime"", ""Thriller""]","[""Science""]","[""Wine"", ""Coffee"", ""Street Food""]","[""Adventure Sports"", ""Surfing"", ""Camping""]","[""Console Gaming"", ""Mobile Gaming""]","[""Mountains"", ""Languages""]","[""Politically Active"", ""Feminist"", ""Atheist"", ""Religious""]","[""Long-Term Relationship""]"
35.0,Sachini,32.0,Male,Female,Badulla,Software Developer,5.28,5.16,"[""Meditation"", ""Yoga"", ""Vegetarian""]","[""DIY & Crafts""]","[""Jazz""]","[""Sci-Fi"", ""Horror""]","[""Philosophy"", ""Psychology"", ""AI & Machine Learning"", ""Books & Reading""]","[""Street Food"", ""Fine Dining"", ""Coffee""]","[""Adventure Sports"", ""Basketball"", ""Cricket"", ""Football""]","[""Board Games"", ""Mobile Gaming"", ""Crypto"", ""Web3""]","[""Backpacking"", ""Luxury Travel"", ""Languages"", ""Mountains""]","[""Spiritual"", ""Family-Oriented""]","[""Marriage""]"
36.0,Kasun,30.0,Male,Female,Monaragala,Bank Officer,1.0,4.3,"[""Pet Lover"", ""Night Owl"", ""Fitness"", ""Traveling""]","[""Poetry"", ""Graphic Design"", ""DIY & Crafts"", ""Filmmaking""]","[""EDM"", ""Hip-Hop"", ""K-Pop"", ""Classical""]","[""Sci-Fi"", ""Sitcoms"", ""Documentaries""]","[""Philosophy""]","[""Craft Beer"", ""Spicy Food""]","[""Football"", ""Cycling"", ""Camping""]","[""VR""]","[""Road Trips"", ""Backpacking"", ""Mountains""]","[""Atheist"", ""Religious""]","[""Long-Term Relationship""]"
37.0,Chamara,38.0,Male,Female,Hambantota,Business Owner,4.21,1.0,"[""Meditation"", ""Fitness"", ""Vegetarian""]","[""Photography"", ""Writing"", ""Painting"", ""Graphic Design""]","[""Hip-Hop""]","[""Thriller"", ""Sci-Fi"", ""Documentaries""]","[""History"", ""Books & Reading""]","[""Coffee"", ""Baking"", ""Craft Beer"", ""Cooking""]","[""Cycling"", ""Football"", ""Camping"", ""Basketball""]","[""Mobile Gaming"", ""PC Gaming"", ""Crypto"", ""VR""]","[""Museums"", ""Beaches""]","[""Feminist""]","[""Casual Dating""]"
38.0,Piyumi,23.0,Female,Male,Colombo,Tourism Guide,3.3,2.32,"[""Pet Lover"", ""Early Bird"", ""Night Owl"", ""Traveling""]","[""DIY & Crafts"", ""Fashion""]","[""Pop""]","[""Anime"", ""K-Dramas"", ""Documentaries""]","[""AI & Machine Learning"", ""Philosophy"", ""History"", ""Science""]","[""Wine"", ""Craft Beer""]","[""Camping"", ""Cycling"", ""Adventure Sports"", ""Swimming""]","[""Web3"", ""Dungeons & Dragons"", ""VR"", ""Mobile Gaming""]","[""Museums"", ""Road Trips"", ""Cultural Festivals""]","[""Career-Focused"", ""Politically Active"", ""Environmentalist"", ""Feminist""]","[""Marriage""]"
39.0,Kavindu,35.0,Female,Male,Badulla,Journalist,5.31,1.18,"[""Vegetarian"", ""Fitness"", ""Night Owl""]","[""Writing"", ""Interior Design"", ""Photography""]","[""Classical"", ""Rock""]","[""Romance"", ""Horror"", ""Thriller""]","[""Psychology"", ""History"", ""Philosophy"", ""Startups""]","[""Fine Dining"", ""Wine"", ""Coffee""]","[""Basketball"", ""Football""]","[""Mobile Gaming"", ""Console Gaming""]","[""Languages"", ""Backpacking"", ""Museums""]","[""Career-Focused"", ""Family-Oriented"", ""Feminist""]","[""Open Relationship""]"
40.0,Thurya Wijerathna,28.0,Female,Male,Monaragala,Farmer,4.34,1.0,"[""Early Bird"", ""Pet Lover"", ""Fitness"", ""Gym""]","[""Filmmaking"", ""Writing"", ""Fashion"", ""Interior Design""]","[""Singing"", ""Pop"", ""Indie""]","[""Thriller"", ""Documentaries"", ""Horror""]","[""History"", ""Philosophy"", ""Technology"", ""AI & Machine Learning""]","[""Craft Beer"", ""Coffee"", ""Fine Dining"", ""Cooking""]","[""Camping"", ""Football"", ""Adventure Sports""]","[""Mobile Gaming""]","[""Cultural Festivals""]","[""Religious"", ""Family-Oriented""]","[""Long-Term Relationship""]"
41.0,Oshadi,35.0,Female,Male,Gampaha,Business Owner,5.66,3.12,"[""Traveling""]","[""Graphic Design"", ""Interior Design"", ""Painting""]","[""K-Pop"", ""Indie""]","[""Anime""]","[""Startups"", ""Philosophy""]","[""Wine"", ""Street Food"", ""Baking"", ""Fine Dining""]","[""Football"", ""Camping"", ""Cycling""]","[""Board Games"", ""VR"", ""Web3"", ""eSports""]","[""Mountains"", ""Luxury Travel"", ""Backpacking""]","[""Family-Oriented"", ""Career-Focused"", ""Environmentalist""]","[""Marriage""]"
42.0,Amila Edirisinghe,32.0,Female,Male,Badulla,Police Officer,1.14,4.94,"[""Yoga"", ""Nightlife"", ""Digital Nomad"", ""Vegetarian""]","[""Filmmaking"", ""Photography"", ""Interior Design""]","[""Jazz"", ""EDM""]","[""K-Dramas"", ""Horror"", ""Romance""]","[""Startups"", ""Technology""]","[""Cooking"", ""Wine""]","[""Basketball"", ""Adventure Sports""]","[""Mobile Gaming""]","[""Museums""]","[""Atheist"", ""Spiritual""]","[""Open Relationship""]"
43.0,Madusha,33.0,Female,Male,Gampaha,Journalist,1.0,3.61,"[""Meditation"", ""Vegan"", ""Digital Nomad""]","[""Photography""]","[""Rock""]","[""Horror"", ""Sci-Fi""]","[""AI & Machine Learning""]","[""Fine Dining"", ""Spicy Food""]","[""Surfing""]","[""Web3"", ""Console Gaming"", ""eSports""]","[""Luxury Travel"", ""Backpacking"", ""Cultural Festivals"", ""Road Trips""]","[""Family-Oriented"", ""Career-Focused"", ""Environmentalist"", ""Feminist""]","[""Marriage""]"
44.0,Bimasha,28.0,Male,Female,Kandy,Lawyer,4.52,4.29,"[""Vegetarian"", ""Pet Lover""]","[""Filmmaking""]","[""EDM""]","[""Sitcoms"", ""Romance""]","[""Startups"", ""Books & Reading"", ""AI & Machine Learning""]","[""Fine Dining""]","[""Cycling"", ""Basketball"", ""Adventure Sports"", ""Cricket""]","[""VR"", ""PC Gaming"", ""eSports""]","[""Languages"", ""Luxury Travel"", ""Road Trips"", ""Museums""]","[""Atheist"", ""Career-Focused"", ""Feminist"", ""Religious""]","[""Still Figuring It Out""]"
45.0,Tharindu,30.0,Female,Male,Colombo,Journalist,2.06,7.0,"[""Pet Lover"", ""Night Owl"", ""Traveling"", ""Digital Nomad""]","[""DIY & Crafts""]","[""K-Pop"", ""EDM"", ""Playing Instruments""]","[""Sci-Fi"", ""Horror"", ""Romance""]","[""Self-Improvement""]","[""Fine Dining""]","[""Basketball"", ""Hiking"", ""Swimming"", ""Cricket""]","[""Web3"", ""Mobile Gaming""]","[""Cultural Festivals"", ""Beaches"", ""Backpacking"", ""Road Trips""]","[""Environmentalist"", ""Feminist""]","[""Long-Term Relationship""]"
46.0,Menuwan Rodrigo,25.0,Male,Female,Kandy,Tourism Guide,2.78,3.34,"[""Pet Lover"", ""Vegan"", ""Fitness""]","[""DIY & Crafts"", ""Poetry"", ""Fashion"", ""Graphic Design""]","[""Singing""]","[""Horror"", ""Sitcoms"", ""K-Dramas"", ""Documentaries""]","[""Science"", ""History""]","[""Coffee"", ""Street Food"", ""Craft Beer"", ""Baking""]","[""Hiking"", ""Camping"", ""Football"", ""Cricket""]","[""Mobile Gaming""]","[""Beaches""]","[""Spiritual"", ""Family-Oriented""]","[""Open Relationship""]"
47.0,Piyumi,36.0,Male,Female,Ratnapura,Civil Servant,3.94,3.51,"[""Fitness"", ""Early Bird""]","[""Painting"", ""Writing""]","[""Indie"", ""Hip-Hop"", ""K-Pop""]","[""Romance""]","[""AI & Machine Learning"", ""Science"", ""Self-Improvement""]","[""Spicy Food"", ""Fine Dining""]","[""Surfing""]","[""Console Gaming""]","[""Luxury Travel"", ""Backpacking""]","[""Environmentalist"", ""Atheist"", ""Politically Active""]","[""Long-Term Relationship""]"
48.0,Nethmi Herath,19.0,Female,Male,Colombo,Marketing Executive,5.37,2.89,"[""Nightlife"", ""Meditation""]","[""DIY & Crafts"", ""Poetry"", ""Graphic Design"", ""Writing""]","[""Hip-Hop""]","[""Documentaries"", ""Anime"", ""Romance"", ""Thriller""]","[""Books & Reading"", ""Psychology"", ""Technology"", ""AI & Machine Learning""]","[""Coffee""]","[""Swimming"", ""Surfing"", ""Cycling""]","[""Mobile Gaming""]","[""Luxury Travel"", ""Cultural Festivals"", ""Languages"", ""Road Trips""]","[""Atheist"", ""Family-Oriented"", ""Religious""]","[""Long-Term Relationship""]"
49.0,Amila,23.0,Male,Female,Matara,Marketing Executive,1.38,4.81,"[""Vegan"", ""Meditation"", ""Fitness""]","[""Fashion"", ""Poetry""]","[""Playing Instruments"", ""Singing""]","[""Sitcoms"", ""Documentaries"", ""Thriller""]","[""AI & Machine Learning"", ""Philosophy""]","[""Fine Dining""]","[""Camping""]","[""Board Games""]","[""Mountains"", ""Luxury Travel"", ""Languages"", ""Museums""]","[""Spiritual""]","[""Still Figuring It Out""]"
